animeId,annid,animeName,songId,songName,songArtist,songType,songsNumber,songDifficulty
2613,,EnStars,1,Sei Shounen Yuugi,Kyuu Valkyrie,3,,
7469,,Owarimonogatari,2,terminal terminal,Emiri Katou,1,,
11296,,Zenonzard The Animation,3,Symphony of Justice,KIRISAME UNDERTAKER × Alex K Storm,3,,
1918,,Death Note,4,Misa no Uta,Aya Hirano,3,,
4008,,Higurashi no Naku Koro ni Gou,5,Orange-iro no Kaze,Yukari Tamura & Mika Kanai,3,,
9513,,Sword Art Online: Alicization - War of Underworld,6,ANIMA,ReoNa,1,,
7389,,Oregairu Kan,7,Diamond no Jundo ~Yui Ballade~,Nao Touyama,2,,
3295,,Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,8,dust,SennaRin,1,,
9034,,Skate-Leading Stars,9,Chase the core,Takao Sakuma,1,,
8627,,selector spread WIXOSS,10,"world's end, girl's rondo",Kanon Wakeshima,1,,
3313,,Ginga Shippuu Sasuraiger,11,Happy Song,Naomi Masuda,2,,
5575,,Lime-iro Senkitan,12,Rinka,Lime-tai,1,,
11183,,Yu-Gi-Oh! Arc-V,13,Kirifuda,cinema staff,1,,
4481,,Itsudatte Bokura no Koi wa 10 cm Datta.,14,Hitsuyou Fukaketsu,LIP×LIP,3,,
5350,,Koutetsujou no Kabaneri: Unato Kessen,15,ninelie (Lv),Laco,3,,
1729,,Crayon Shin-chan: Otakebe! Kasukabe Yasei Oukoku,16,Yanchamichi,Jero,2,,
3240,,Get Ride! AMDriver,17,RIDE ON MIND,Kouji Yusa,3,,
5844,,Macross Frontier,18,Neko Nikki,Megumi Nakajima,3,,
8919,,Shirayuki Hime no Densetsu,19,♡ no Mori e Tsuretette,Miki Sakai with Red Dolphins,1,,
7719,,Pocket Monsters Diamond & Pearl,20,Mezase Pokemon Master '98,Rica Matsumoto,3,,
9183,,Soukyuu no Fafner The Beyond,21,Kimi o Yurusu You ni,angela,2,,
5360,,Kremlin,22,Koinu to Boku,Azuma Tani,2,,
234,,Aikatsu Planet!,23,HAPPY∞Aikatsu!,Mao・Ruli from STARRY PLANET☆,3,,
2463,,Durarara!!×2 Ten: Onoroke Chakapoko,24,Day you laugh,Toshiyuki Toyonaga,1,,
3679,,Hajime no Ippo,25,Yuuzora no Kamihikouki,Naoya Mori,2,,
8322,,Saiki Kusuo no Psi-nan,26,Ψ Hakkenden,Dempagumi.inc,2,,
5991,,Mahou Shoujo Lyrical Nanoha,27,innocent starter,Nana Mizuki,1,,
1403,,Chibi Maruko-chan,28,Odoru Ponpokorin,B.B.Queens,2,,
107,,A-Channel,29,Morning Arch,Marina Kawano,1,,
3911,,Hello World,30,Yesterday (Movie ver.),Official HIGE DANdism,3,,
9752,,Terraformars,31,AMAZING BREAK,TERRASPEX,1,,
1837,,Dance Dance Danseur,32,"Kaze, Hana",hitorie,2,,
803,,BanG Dream! Garupa☆Pico: Fever,33,SURVIVOR Never Give Up!,Pastel*Palettes,2,,
7203,,Oh! Family,34,California Dreaming,Ushio Hashimoto & Koorogi '73,1,,
9108,,Sonny Boy,35,Let There Be Light Again,Sunset Rollercoaster,3,,
9428,,Sumomomo Momomo: Chijou Saikyou no Yome,36,Setsujou - Hyakka Ryouran,MOSAIC.WAV,1,,
11055,,YAT Anshin! Uchuu Ryokou,37,Hoshi no Funauta,Kazuki Yao,3,,
