,rankedId,date,region,rankedSongId,rankedSongNumber,songId,startTime,correctCount,activePlayers
0,1,2022-09-29,Europe,1,1,1,72,8,168
1,1,2022-09-29,Europe,2,2,2,24,22,177
2,1,2022-09-29,Europe,3,3,3,137,0,182
3,1,2022-09-29,Europe,4,4,4,26,127,186
4,1,2022-09-29,Europe,5,5,5,5,15,191
5,1,2022-09-29,Europe,6,6,6,26,103,189
6,1,2022-09-29,Europe,7,7,7,33,35,192
7,1,2022-09-29,Europe,8,8,8,1,13,192
8,1,2022-09-29,Europe,9,9,9,12,14,192
9,1,2022-09-29,Europe,10,10,10,39,62,194
10,1,2022-09-29,Europe,11,11,11,23,4,194
11,1,2022-09-29,Europe,12,12,12,12,10,194
12,2,2022-09-29,North America,13,60,13,60,21,166
13,2,2022-09-29,North America,14,61,14,40,60,166
14,2,2022-09-29,North America,15,62,15,11,33,165
15,2,2022-09-29,North America,16,63,16,28,2,164
16,2,2022-09-29,North America,17,64,17,9,2,165
17,2,2022-09-29,North America,18,65,18,69,48,162
18,2,2022-09-29,North America,19,66,19,23,4,161
19,2,2022-09-29,North America,20,67,20,38,52,163
20,2,2022-09-29,North America,21,68,21,3,14,163
21,2,2022-09-29,North America,22,69,22,0,16,162
22,2,2022-09-29,North America,23,70,23,58,28,163
23,2,2022-09-29,North America,24,71,24,10,60,164
24,2,2022-09-29,North America,25,72,25,19,25,164
25,2,2022-09-29,North America,26,73,26,47,24,165
26,2,2022-09-29,North America,27,74,27,68,57,165
27,2,2022-09-29,North America,28,75,28,40,96,164
28,2,2022-09-29,North America,29,76,29,24,33,164
29,2,2022-09-29,North America,30,77,30,21,59,165
30,2,2022-09-29,North America,31,78,31,14,49,165
31,2,2022-09-29,North America,32,79,32,19,23,165
32,2,2022-09-29,North America,33,80,33,9,15,164
33,2,2022-09-29,North America,34,81,34,15,5,164
34,2,2022-09-29,North America,35,82,35,115,18,164
35,2,2022-09-29,North America,36,83,36,49,17,164
36,2,2022-09-29,North America,37,84,37,49,3,164
37,2,2022-09-29,North America,38,85,38,24,111,154
38,3,2022-09-30,Asia,39,2,40,9,30,103
39,3,2022-09-30,Asia,40,3,41,32,51,107
40,3,2022-09-30,Asia,41,4,42,58,10,110
41,3,2022-09-30,Asia,42,5,43,10,7,110
42,3,2022-09-30,Asia,43,6,44,39,42,115
43,3,2022-09-30,Asia,44,7,45,22,25,117
44,3,2022-09-30,Asia,45,8,46,2,4,119
45,3,2022-09-30,Asia,46,9,47,38,40,120
46,3,2022-09-30,Asia,47,10,48,11,13,123
47,3,2022-09-30,Asia,48,11,49,3,7,125
48,3,2022-09-30,Asia,49,12,50,40,14,126
49,3,2022-09-30,Asia,50,13,51,13,34,126
50,3,2022-09-30,Asia,51,14,52,11,4,127
51,3,2022-09-30,Asia,52,15,53,103,2,127
52,3,2022-09-30,Asia,53,16,54,138,5,128
53,3,2022-09-30,Asia,54,17,55,22,16,129
54,3,2022-09-30,Asia,55,18,56,0,3,129
55,3,2022-09-30,Asia,56,19,15,67,21,128
56,3,2022-09-30,Asia,57,20,57,12,6,129
57,3,2022-09-30,Asia,58,21,58,5,35,129
58,3,2022-09-30,Asia,59,22,59,23,7,130
59,3,2022-09-30,Asia,60,23,60,24,3,129
60,3,2022-09-30,Asia,61,24,61,42,19,128
61,3,2022-09-30,Asia,62,25,62,80,3,128
62,3,2022-09-30,Asia,63,26,63,204,26,128
63,3,2022-09-30,Asia,64,27,64,80,17,126
64,3,2022-09-30,Asia,65,28,65,14,7,127
65,3,2022-09-30,Asia,66,29,66,17,17,127
66,3,2022-09-30,Asia,67,30,67,6,42,129
67,3,2022-09-30,Asia,68,31,68,73,6,128
68,3,2022-09-30,Asia,69,32,69,45,26,127
69,3,2022-09-30,Asia,70,33,70,45,48,129
70,3,2022-09-30,Asia,71,34,71,86,74,130
71,3,2022-09-30,Asia,72,35,72,5,4,129
72,3,2022-09-30,Asia,73,36,73,39,34,129
73,3,2022-09-30,Asia,74,37,74,17,21,129
74,3,2022-09-30,Asia,75,38,75,22,46,130
75,3,2022-09-30,Asia,76,39,76,21,0,131
76,3,2022-09-30,Asia,77,40,77,9,13,131
77,3,2022-09-30,Asia,78,41,78,10,53,130
78,3,2022-09-30,Asia,79,42,79,64,57,130
79,3,2022-09-30,Asia,80,43,80,41,48,130
80,3,2022-09-30,Asia,81,44,81,0,26,130
81,3,2022-09-30,Asia,82,45,82,2,73,130
82,3,2022-09-30,Asia,83,46,83,31,0,131
83,3,2022-09-30,Asia,84,47,84,195,35,131
84,3,2022-09-30,Asia,85,48,85,20,66,133
85,3,2022-09-30,Asia,86,49,86,19,76,134
86,3,2022-09-30,Asia,87,50,87,23,14,134
87,3,2022-09-30,Asia,88,51,88,39,21,133
88,3,2022-09-30,Asia,89,52,89,28,17,133
