,playerName,nbSongs,score,nbSoloPoints
0,002,126,2,0.0
1,0SLL54g22yT7,84,1,0.0
2,0_0,575,13,0.0
3,11_,875,28,0.0
4,1234gary,418,27,0.0
5,14thVessel,459,12,0.0
6,19,28,3,0.0
7,1cY,85,13,0.0
8,1davey29,75,1,0.0
9,1jari1,85,2,0.0
10,2,1003,33,0.0
11,24,269,7,0.0
12,3StarPlz,85,2,0.0
13,3keeksi,85,3,0.0
14,3xFaster,93,7,0.0
15,3xbd,85,1,0.0
16,49Leo,84,3,0.0
17,49wakaraNINE,83,24,0.0
18,4U6U57,679,5,0.0
19,54MU3L,85,5,0.0
20,80s,82,41,0.0
21,86239,143,0,0.0
22,ABirdNamedPidge,206,5,0.0
23,AC9123,57,2,0.0
24,ACDatabase,85,1,0.0
25,ACoolGuy,85,32,0.0
26,AGerdet,85,1,0.0
27,AIuX,249,29,0.0
28,AKF_lnwZa_007,83,0,0.0
29,AKl,935,70,1.0
30,AMQSUS,82,18,0.0
31,AM_Zer0,85,4,0.0
32,ARKR,308,15,0.0
33,ASSlover,340,36,0.0
34,ASTR0,520,4,0.0
35,ASheep,606,17,0.0
36,AZK,84,12,0.0
37,AZiMA,82,14,0.0
38,A_N_D_E_R,85,5,0.0
39,Aardwolf,170,3,0.0
40,AboveAll,56,0,0.0
41,Abw,340,23,0.0
42,Acario,85,5,0.0
43,Acex187x,85,3,0.0
44,Achird,5588,21,0.0
45,Acophytes,101,2,0.0
46,AddRealRWBYNow,84,5,0.0
47,Aderbal,170,4,0.0
48,Adjest,401,46,0.0
49,Adonyx,980,11,0.0
50,Adurite,79,3,0.0
51,Aelin,85,0,0.0
52,Aelystos,655,6,0.0
53,Aeroheli,72,0,0.0
54,AetherLike,85,9,0.0
55,Affirmed,450,14,0.0
56,Afmun,85,10,0.0
57,Aganhim,136,3,0.0
58,AgnesJ,338,6,1.0
59,Ai_Haibara,8078,51,19.0
60,Aidown,71,8,0.0
61,AifockAstolfos,35,0,0.0
62,Aiharaaaa,479,10,0.0
63,Aiku,85,0,0.0
64,Aileeeen,85,1,0.0
65,Aimerfan1,81,0,0.0
66,AimingForTurtle,85,1,0.0
67,Aimjayy,46,1,0.0
68,AirKatana1,109,2,0.0
69,Airone23,85,5,0.0
70,Aishia,1243,53,1.0
71,Aitasagaa,82,0,0.0
72,Ajawung,255,25,0.0
73,AkariOozora,200,40,0.0
74,Akashii,2397,8,0.0
75,Akatsukii,240,17,0.0
76,Akaze,3561,56,4.0
77,Akebi,410,56,0.0
78,Aksum,48,0,0.0
79,Akune,170,6,0.0
80,Akyze,83,2,0.0
81,AlAmir,85,1,0.0
82,Alaszun,1349,11,0.0
83,Aleix912,53,0,0.0
84,Aleks,626,25,0.0
85,AlexFDR,58,4,0.0
86,Alexismill,1396,16,0.0
87,AlfEar,5645,25,0.0
88,Alians,45,17,0.0
89,AliceComplex,683,29,0.0
90,Alkios,169,2,0.0
91,Alleros,3086,21,0.0
92,Alleyne,31,0,0.0
93,AlphaEX,143,4,0.0
94,AlphaMidget,85,5,0.0
95,AlterMang,394,11,0.0
96,Alumina,85,6,0.0
97,Alux0,255,3,0.0
98,Amadeus00,73,2,0.0
99,Amai_Yume,85,0,0.0
100,Amakano,85,1,0.0
101,AmaneSumeragi,330,26,0.0
102,Amano_Erika,127,33,0.0
103,AmaterasuZ,237,34,0.0
104,Amel,252,12,0.0
105,Amemoz,5347,17,0.0
106,Amets,85,4,0.0
107,Amiguinho,85,13,0.0
108,Amiiir,85,1,0.0
109,Amitoj,85,0,0.0
110,AmongUsSUS727,85,1,0.0
111,Ananomous,85,3,0.0
112,AnbuKakashi,4137,44,0.0
113,AncientAxeArmour,170,11,0.0
114,AndiXFail,340,27,0.0
115,Andoslash,170,4,0.0
116,Andre2307,255,21,0.0
117,Android17,279,11,0.0
118,AndyNdeah,85,2,0.0
119,Anemone_,170,19,0.0
120,Anenky,340,1,0.0
121,Anessa,340,18,0.0
122,Angi3AA,4846,21,0.0
123,Anima_1134,30,0,0.0
124,AnimeAria,4558,28,0.0
125,AnimeClubSteve,3890,43,0.0
126,AnimeGamer77318,55,0,0.0
127,AnimeMusicShit,170,14,0.0
128,Anime_Anonymous4,85,4,0.0
129,AnimeroD,800,24,0.0
130,AnimuDennis,35,3,0.0
131,Anio,1939,24,0.0
132,AnotherConnor,85,6,0.0
133,Anri,3805,37,0.0
134,Anti_Sara,85,8,0.0
135,Antonio_soul,79,4,0.0
136,Anwonu,8341,32,1.0
137,AnzuP,85,13,0.0
138,AoiKiriya,21,4,0.0
139,Aoziru,170,9,0.0
140,Apely,405,18,0.0
141,Aplex,85,3,0.0
142,Apolob,85,0,0.0
143,AprilBlue,239,26,0.0
144,AquaHaze,1462,44,0.0
145,Arameus,138,24,0.0
146,Aranha,85,1,0.0
147,ArawNaTsaa,85,24,0.0
148,Arc_Impulse,5062,16,0.0
149,Arcale,940,30,0.0
150,ArchanumX,507,9,0.0
151,Archany31,85,19,0.0
152,Archon,2035,33,0.0
153,Arendex,157,5,0.0
154,Argenti,60,0,0.0
155,AriTzzon,83,0,0.0
156,ArieruNanami,158,26,0.0
157,ArinaSinH,85,7,0.0
158,Ariyume,170,22,0.0
159,Arkana,981,71,1.0
160,Arkonite,82,0,0.0
161,Arle,85,15,0.0
162,Arliming,85,2,0.0
163,ArmaniDude666,156,1,0.0
164,ArronChu,3795,53,1.0
165,Arshura27,59,0,0.0
166,Art3mis,1264,16,0.0
167,ArukasFrost,4597,57,2.0
168,Aruto5355,85,6,0.0
169,Arutos,246,2,0.0
170,Arvanitis,85,5,0.0
171,Arvindus,85,3,0.0
172,Arya,250,6,0.0
173,Aryssiel,2358,16,0.0
174,Asahio,79,1,0.0
175,AsakuraToru,491,28,0.0
176,Asarck,79,2,0.0
177,Ashering,85,1,0.0
178,Ashuramaru,85,44,0.0
179,AspxXitado,85,7,0.0
180,Asriel71_,27,0,0.0
181,AsteriaNocturna,55,1,0.0
182,Astisss,247,3,0.0
183,Astmatyk,85,8,0.0
184,Astraea31,340,11,0.0
185,Astravars,85,3,0.0
186,Astrotyger,170,3,0.0
187,AsuAochi,307,10,0.0
188,Asugi,85,0,0.0
189,Asumin,1930,42,0.0
190,AsuraKishin,106,5,0.0
191,Asyn,2418,26,0.0
192,Ataraxia,1609,33,0.0
193,AthenaFyr,85,21,0.0
194,Atrona,256,3,0.0
195,Auchan,3096,31,0.0
196,AvaluggLeader,19,1,0.0
197,Avarice,83,0,0.0
198,Aveder,144,5,0.0
199,Avenlokh,21,2,0.0
200,AverageEnjoer,4713,62,1.0
201,Avi0r,85,0,0.0
202,Avplasma,2986,22,0.0
203,AwkwardWitness,69,0,0.0
204,AxelPolo,39,0,0.0
205,Axie,170,5,0.0
206,AxlWerks,85,2,0.0
207,Axolotel,195,2,0.0
208,AyameNakiriFan,281,61,0.0
209,Ayanokoji_86,85,6,0.0
210,Azildiun,78,4,0.0
211,Azul_Caneta,85,0,0.0
212,Azulito,164,8,0.0
213,Azure10,865,12,0.0
214,Azusayuki,124,0,0.0
215,B1,4827,23,0.0
216,BLooDBuRSTiNG,82,4,0.0
217,BUSGAMER,57,0,0.0
218,BaKeR_270,11,0,0.0
219,Baazero,29,1,0.0
220,Babs_,85,0,0.0
221,BabySaim,85,0,0.0
222,Badpig56,160,6,0.0
223,Baekie,85,10,0.0
224,Baeksull,250,8,0.0
225,Bagre,546,40,0.0
226,Baguett,2808,49,0.0
227,Bahamut_Zero,1176,4,0.0
228,Bai,579,66,2.0
229,Bakagami,2617,24,0.0
230,Bakalaka,85,0,0.0
231,Bakaneko_,255,2,0.0
232,BamBamxOG,85,3,0.0
233,Bananamilku,84,7,0.0
234,Banananana,770,25,0.0
235,Bartolominho,129,10,0.0
236,BassIsEverything,32,2,0.0
237,Baton,85,10,0.0
238,Bawner,85,6,0.0
239,BearGrylls193,165,0,0.0
240,BeeLiz,170,27,0.0
241,Belleza,85,15,0.0
242,Benjageek,122,3,0.0
243,Beokros,1781,46,0.0
244,Berukyurosu,127,12,0.0
245,BesserAlsAlfie,85,0,0.0
246,BeteZika,437,4,0.0
247,BettyFlores,301,15,0.0
248,Beyond,170,19,0.0
249,BigAl,85,3,0.0
250,BiggerestPP,1380,5,0.0
251,BiggySean,73,1,0.0
252,BillSama,56,0,0.0
253,Binic,832,9,0.0
254,Birb,425,9,0.0
255,BiruBii,304,30,0.0
256,BlackFAN,169,21,0.0
257,BlackOnyx,130,3,0.0
258,Black_Flame,339,39,0.0
259,Black_o_B,84,13,0.0
260,Blacklotus42,85,3,0.0
261,Blancu,85,3,0.0
262,BlankBlackwhite,170,3,0.0
263,BlauesSerpiroyal,169,3,0.0
264,Blaze1402,254,5,0.0
265,BlazeIDK,330,11,0.0
266,Blindness,1180,45,0.0
267,BloodHole,67,0,0.0
268,Blubque,1356,11,0.0
269,BlueSavant,170,7,0.0
270,Blurakki,424,29,0.0
271,BobMc,255,22,0.0
272,BobbyTomioka,510,12,0.0
273,Bobocan,6784,43,0.0
274,Bobpolo,84,8,0.0
275,Bofuri,85,22,0.0
276,Bogalog,161,7,0.0
277,Bommie,372,19,0.0
278,Boruma,552,29,0.0
279,BoundlessBuggy,78,0,0.0
280,BradenisCringe,85,0,0.0
281,BredMaker,85,0,0.0
282,Breff,85,0,0.0
283,Bright,229,9,0.0
284,Brodvini,85,3,0.0
285,Brokn,85,0,0.0
286,BrosephLose,76,27,0.0
287,BrosephWin,3392,31,0.0
288,BrownYoshi,608,6,0.0
289,Brundiz,40,0,0.0
290,BrunocaGDusk,85,0,0.0
291,Bthen13,85,22,0.0
292,Bucciarati,73,10,0.0
293,BuckyTheGoat,85,0,0.0
294,Budidi,85,17,0.0
295,Bui,632,21,0.0
296,Bulbasaur,85,8,0.0
297,Buncharis,85,2,0.0
298,BurB,85,1,0.0
299,Burbuja,401,2,0.0
300,BurnPuzzle,251,6,0.0
301,Bussing_Baka,85,0,0.0
302,ByaLunari,703,16,0.0
303,Byakk0,4101,13,0.0
304,C4lt,84,5,0.0
305,C7H8N4O2,85,32,0.0
306,CBalkow,85,1,0.0
307,CDL32135,189,2,0.0
308,CHADChart,85,22,0.0
309,CJM2020,85,1,0.0
310,CM02,1198,16,0.0
311,CNerdao,85,2,0.0
312,CSTGG,170,4,0.0
313,CVanz,425,5,0.0
314,C_C_A,93,10,0.0
315,Cachilo,83,0,0.0
316,CalUwU,152,8,0.0
317,Caoirigh,153,4,0.0
318,CaptainCupcake,85,4,0.0
319,CaptainObvious,85,9,0.0
320,CaptainPatate,740,23,0.0
321,CarbonAraAra,5041,27,0.0
322,Caritauwu,85,11,0.0
323,CarlBurger,27,9,0.0
324,Carlos1218,7394,60,4.0
325,CastroLedger,85,4,0.0
