,songInfo,playCount,playerCount,guessRate,songName,animeName
10195,Zankoku na Tenshi no Thesis by Yoko Takahashi,2,338,84.63,Zankoku na Tenshi no Thesis,['Shinkansen Henkei Robo Shinkalion The Animation' 'Shinseiki Evangelion']
1160,Botsuraku Kizoku no Tame no Teekyuu by Yui Watanabe,2,221,82.35,Botsuraku Kizoku no Tame no Teekyuu,Teekyuu
3498,History Maker by DEAN FUJIOKA,3,384,81.25,History Maker,Yuri!!! on Ice
1450,Chibi☆Devi! Aif! by Noriko Shitaya,4,593,80.44,Chibi☆Devi! Aif!,Chibi Devi!
1865,Deal with the devil by Tia,3,439,79.485,Deal with the devil,['Kakegurui' 'Kakegurui××']
2279,FAITH by MADKID,2,228,79.39,FAITH,Tate no Yuusha no Nariagari
1810,Dango Daikazoku by Chata,3,520,79.38,Dango Daikazoku,['Clannad' 'Clannad After Story']
9353,Uchuu kara Yattekita Nyanbo by ohashiTrio,2,367,79.02,Uchuu kara Yattekita Nyanbo,Nyanbo!
8983,This game by Konomi Suzuki,3,409,78.73,This game,No Game No Life
8672,TOMORROW by Machico,2,254,78.35,TOMORROW,Kono Subarashii Sekai ni Shukufuku o! 2
6504,Nyarth no Party by Inuko Inuyama feat. Musashi to Kojirou,3,354,77.97,Nyarth no Party,Boku-tachi Pichu Brothers: Party wa Oosawagi! no Maki
5500,MY GENERATION by THE WHO,2,372,77.42,MY GENERATION,Koe no Katachi
10081,Yume o Kanaete Doraemon by Hibari Jidou Gasshou-dan,2,280,77.14,Yume o Kanaete Doraemon,Doraemon Shin Nobita no Daimakyo: Peko to 5-nin no Tankentai
2526,Fukashigi no Karte by Asami Seto,2,314,77.07,Fukashigi no Karte,Seishun Buta Yarou wa Bunny Girl Senpai no Yume o Minai
1674,DADDY! DADDY! DO! by Masayuki Suzuki feat. Airi Suzuki,2,373,76.68,DADDY! DADDY! DO!,Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen
1293,CHA-LA HEAD-CHA-LA by Hironobu Kageyama,2,300,76.33,CHA-LA HEAD-CHA-LA,Dragon Ball Z: Tatta Hitori no Saishuu Kessen - Freezer ni Idonda Z Senshi Son Goku no Chichi
2926,Goya no Machiawase by Hello Sleepwalkers,2,344,76.16,Goya no Machiawase,Noragami
6870,PINGU A GO! GO! by Ken Arai,2,260,76.15,PINGU A GO! GO!,Pingu in the City
6965,Pegasus Fantasy by MAKE-UP,3,412,76.0,Pegasus Fantasy,['Saint Seiya: Meiou Hades Juuni Kyuu-hen' 'Saint Seiya']
7906,Seishun Satsubatsuron by 3-nen E-gumi Utatan,3,490,75.92,Seishun Satsubatsuron,Ansatsu Kyoushitsu
