,date,region,playerName,score
1,2022-12-31,America,theyingster,77
2,2022-12-08,Asia,Rukawa11,74
3,2022-10-26,Europe,watashiii,73
4,2022-11-23,America,HOOGALAKASHAKA,71
5,2022-11-22,Europe,UnknownI7,71
6,2022-12-18,Asia,Arkana,71
7,2022-11-08,America,AKl,70
8,2022-11-08,America,SrueyaF,69
9,2022-10-29,America,shadowpandax,69
10,2022-12-07,Asia,Hejsan,69
11,2022-11-10,America,scratchy_balls,69
12,2022-12-25,Asia,ShiroKuro,68
13,2022-10-12,America,thebigupdate,67
14,2022-12-31,America,Stunar,67
15,2022-12-30,America,Renegado,67
16,2022-11-11,America,kneesoxluver,66
17,2022-10-26,Europe,KaedeTakagaki,66
18,2022-12-20,America,Bai,66
19,2022-12-27,America,Deafness,65
20,2022-11-23,America,PoolNoodle,64
21,2022-12-22,America,Miki_Hoshii,64
22,2022-12-16,America,YYYYYYYYYYYYYYYY,64
23,2022-12-30,Europe,gaaw,64
24,2022-12-18,Asia,Gyafun,64
25,2022-10-18,America,scooter_papa,64
26,2022-12-31,Europe,YoshiOpeninger,64
27,2022-12-06,Europe,MaikaLover233,63
28,2022-12-07,Asia,xTsuSaKu,63
