,animeName,playCount
97,Aikatsu!,71
3430,PriPara,45
2788,Meitantei Conan,39
478,Boku no Hero Academia,38
2546,Love Live! Superstar!!,35
2400,Koukou Hoshi Kageki,30
2543,Love Live! School Idol Project Nijigasaki Gakuen School Idol Doukoukai,28
2302,Kiratto Pri☆Chan,28
3808,Shaman King,28
3413,Poputepipikku,27
95,Aikatsu Stars!,27
2603,Macross Δ,26
2542,Love Live! School Idol Project,25
1124,Fairy Tail,25
4251,Tensei Shitara Slime Datta Ken,24
936,Doraemon,23
352,BanG Dream! 2nd Season,21
4276,The IDOLM@STER Cinderella Girls,21
2380,Kore wa Zombie Desu ka? of the Dead,20
2126,"Kanojo, Okarishimasu",20
