,songInfo,playCount,playerCount,guessRate,songName,animeName
8716,"Tachiagare! by Wake Up, Girls!",17,2674,35.32666666666667,Tachiagare!,"['Wake Up, Girls!' 'Wake Up, Girls!: The Movie'
 'Wake Up, Girls! Shin Shou']"
932,Bay side love story -from Tokyo- by Masami Okui,15,2390,50.08,Bay side love story -from Tokyo-,Shinseiki Evangelion Gekijouban: Shi to Shinsei
6566,Odoru Ponpokorin by B.B.Queens,14,2109,55.57,Odoru Ponpokorin,['Chibi Maruko-chan' 'Chibi Maruko-chan']
5380,Love Me Gimme by Tia,12,1812,35.26,Love Me Gimme,['Wooser no Sono Higurashi: Mugen-hen' 'Wooser no Sono Higurashi']
9028,"Tobe! Grendizer by Isao Sasaki, Columbia Yurikago-kai, Koorogi '73",12,1898,46.71,Tobe! Grendizer,"['Grendizer, Getter Robo G, Great Mazinger: Kessen! Daikaijuu'
 'UFO Robo Grendizer']"
6492,Nurse Witch Komugi-chan Magikarte -Ai no Medicine- by Haruko Momoi,12,1852,38.55500000000001,Nurse Witch Komugi-chan Magikarte -Ai no Medicine-,['Nurse Witch Komugi-chan Magikarte' 'Nurse Witch Komugi-chan Magikarte Z']
7080,"Precure 5, Full Throttle GO GO! by Mayu Kudou with Precure 5",12,1928,33.23,"Precure 5, Full Throttle GO GO!","['Yes! Precure 5 GoGo! Okashi no Kuni no Happy Birthday'
 'Precure All Stars DX: Minna Tomodachi☆Kiseki no Zenin Daishuugou']"
6424,Ninja Hattori-kun by Ayako Hori & Columbia Yurikago-kai,12,1838,46.08,Ninja Hattori-kun,Ninja Hattori-kun
2771,Get Wild by TM NETWORK,11,1418,40.785,Get Wild,"['City Hunter: Kinkyuu Namachuukei!? Kyouakuhan Saeba Ryou no Saigo'
 'City Hunter 3']"
3795,INSIDE IDENTITY by Black Raison d'être,11,1679,50.57,INSIDE IDENTITY,Takanashi Rikka Kai: Gekijouban Chuunibyou demo Koi ga Shitai!
8364,Sorya Masou Desho! Rock 'n Roll by Iori Nomizu,11,1598,30.16,Sorya Masou Desho! Rock 'n Roll,Kore wa Zombie Desu ka? of the Dead
980,Believe again by Saint Snow,11,1937,22.2,Believe again,Love Live! Sunshine!! The School Idol Movie Over the Rainbow
449,Ana by Lia,11,1566,46.115,Ana,['Clannad' 'Clannad']
6486,Nuedori by Suara,10,1549,15.55,Nuedori,['Utawarerumono: Itsuwari no Kamen' 'Utawarerumono: Futari no Hakuoro']
9962,Yoru ga Akeru by Given,10,1369,19.87,Yoru ga Akeru,Eiga Given
4391,Kawaita Sakebi by FIELD OF VIEW,10,1741,53.65,Kawaita Sakebi,Yu-Gi-Oh!
10276,all the way by Mikuni Shimokawa,10,1706,37.92,all the way,Kino no Tabi: The Beautiful World
9307,Twilight by Electric Light Orchestra,10,1453,30.97,Twilight,Daicon films
3314,Heart Realize by Tia,10,1549,48.03,Heart Realize,Noragami
8040,Shikisai by Maaya Sakamoto,10,1569,37.475,Shikisai,"['Fate/Grand Order: Zettai Majuu Sensen Babylonia'
 'Fate/Grand Order: First Order']"
