,playerName,total_x,region,nbSongs
3,TKN,9988,Europe,4552
4,TKN,9988,Asia,5436
5,thkvl,9820,Europe,4638
6,thkvl,9820,America,5182
7,Reiniblue,8970,Asia,4389
8,Reiniblue,8970,Europe,2805
9,Reiniblue,8970,America,1776
10,Rukawa11,8893,Europe,2769
11,Rukawa11,8893,America,2649
12,Rukawa11,8893,Asia,3475
13,Lailaps,8828,America,4408
14,Lailaps,8828,Asia,4420
15,Deafness,8668,Asia,3296
16,Deafness,8668,America,5372
17,lucietoo,8488,Asia,2697
18,lucietoo,8488,America,3105
19,lucietoo,8488,Europe,2686
20,metarin,8316,America,3066
21,metarin,8316,Asia,4149
22,metarin,8316,Europe,1101
23,gaaw,8249,Europe,3079
24,gaaw,8249,Asia,4900
25,gaaw,8249,America,270
26,wswsasd,8073,Asia,524
27,wswsasd,8073,Europe,2459
28,wswsasd,8073,America,5090
29,Turtle76,8057,America,340
30,Turtle76,8057,Europe,3722
31,Turtle76,8057,Asia,3995
32,kaghey,8050,America,5159
33,kaghey,8050,Europe,2891
34,RickAshayz,8043,America,4079
35,RickAshayz,8043,Europe,3964
36,Ephemeral,7923,America,4364
37,Ephemeral,7923,Asia,387
38,Ephemeral,7923,Europe,3172
39,neoburnz,7777,Europe,50
40,neoburnz,7777,Asia,4027
41,neoburnz,7777,America,3700
42,Otterhond101,7770,Europe,4305
43,Otterhond101,7770,Asia,3465
44,JuliAless64,7764,America,3727
45,JuliAless64,7764,Asia,1230
46,JuliAless64,7764,Europe,2807
47,Kakkeru,7738,Europe,3729
48,Kakkeru,7738,Asia,3016
49,Kakkeru,7738,America,993
50,munyamunya,7598,Asia,5015
51,munyamunya,7598,America,2583
52,shadismith,7553,Europe,3927
53,shadismith,7553,America,3541
54,shadismith,7553,Asia,85
55,ponytailsud2,7508,Europe,2182
56,ponytailsud2,7508,Asia,4832
57,ponytailsud2,7508,America,494
58,Anwonu,7502,Europe,3700
59,Anwonu,7502,America,3717
60,Anwonu,7502,Asia,85
61,burabe,7424,America,78
62,burabe,7424,Europe,2435
63,burabe,7424,Asia,4911
64,Nocty,7248,Europe,5153
65,Nocty,7248,Asia,2095
66,Thaleko,7189,Europe,4461
67,Thaleko,7189,Asia,2643
68,Thaleko,7189,America,85
69,watashiii,7035,America,3813
70,watashiii,7035,Europe,3222
71,jackytam,6869,Europe,3974
72,jackytam,6869,Asia,6
73,jackytam,6869,America,2889
74,dratiny,6715,America,3187
75,dratiny,6715,Asia,575
76,dratiny,6715,Europe,2953
77,Noru,6696,Europe,4367
78,Noru,6696,America,85
79,Noru,6696,Asia,2244
80,Yotes,6631,Asia,1724
81,Yotes,6631,America,4907
82,tertium,6584,Europe,2073
83,tertium,6584,Asia,3220
84,tertium,6584,America,1291
